,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,host_temperature,host_radius,host_mass,right_ascension,declination
3889,Kepler-901 b,828.0,2.45 Earths,15.85,2016,Super Earth,1.37 x Earth,0.0378 AU,3.5 days,0,Kepler-951,Transit,4834.0,0.73,0.77,19h10m57.02s,+38d06m52.74s
3890,Kepler-902 b,3801.0,6.99 Earths,14.992,2016,Neptune-like,0.227 x Jupiter,0.223 AU,40.1 days,0,Kepler-952,Transit,5730.0,0.99,1.0,19h01m29.25s,+41d59m37.93s
3891,Kepler-903 b,4466.0,4.7 Earths,14.856,2016,Super Earth,2.01 x Earth,0.0907 AU,10.4 days,0,Kepler-953,Transit,5416.0,0.99,0.95,19h15m53.19s,+44d37m28.72s
3892,Kepler-903 c,4466.0,6.94 Earths,14.856,2016,Neptune-like,0.226 x Jupiter,0.302 AU,62.9 days,0,Kepler-953,Transit,5416.0,0.99,0.95,19h15m53.19s,+44d37m28.72s
3893,Kepler-904 b,3191.0,3.78 Earths,14.56,2016,Super Earth,1.77 x Earth,0.0417 AU,3 days,0,Kepler-954,Transit,4990.0,0.76,0.82,19h43m26.26s,+47d56m22.56s
3894,Kepler-905 b,1726.0,2.57 Earths,14.058,2016,Super Earth,1.41 x Earth,0.0572 AU,5.1 days,0,Kepler-955,Transit,5350.0,0.84,0.89,19h13m53.16s,+40d16m11.34s
3895,Kepler-906 b,2472.0,5.1 Earths,14.019,2016,Neptune-like,2.11 x Earth,0.2359 AU,41.7 days,0,Kepler-956,Transit,6040.0,1.15,1.1,19h30m07.40s,+49d03m41.96s
3896,Kepler-907 b,1148.0,1.87 Earths,11.16,2016,Super Earth,1.2 x Earth,0.1225 AU,15.9 days,0,Kepler-957,Transit,4963.0,0.75,0.81,19h20m37.53s,+48d49m08.30s
3897,Kepler-908 b,949.0,1.98 Earths,11.607,2016,Super Earth,1.22 x Earth,0.0247 AU,1.3 days,0,Kepler-958,Transit,5421.0,0.86,0.91,19h09m01.60s,+46d04m00.21s
3898,Kepler-909 b,1010.0,2.76 Earths,11.626,2016,Super Earth,1.47 x Earth,0.1175 AU,13.9 days,0,Kepler-959,Transit,7005.0,2.01,1.6,19h28m41.08s,+40d48m40.99s
3899,Kepler-90b,2767.0,2.27 Earths,13.883,2013,Super Earth,1.31 x Earth,0.074 AU,7 days,0,Kepler-96,Transit,5690.0,1.02,1.0,19h48m16.76s,+40d31m30.73s
3900,Kepler-90c,2767.0,1.81 Earths,13.883,2013,Super Earth,1.19 x Earth,0.089 AU,8.7 days,0,Kepler-960,Transit,4755.0,0.72,0.77,18h45m49.73s,+46d44m47.59s
3901,Kepler-90d,2767.0,8.6 Earths,13.883,2013,Neptune-like,0.256 x Jupiter,0.32 AU,59.7 days,0,Kepler-961,Transit,5582.0,0.9,0.96,18h48m08.52s,+43d37m52.50s
3902,Kepler-90e,2767.0,7.56 Earths,13.883,2013,Neptune-like,0.237 x Jupiter,0.42 AU,91.9 days,0,Kepler-962,Transit,5478.0,0.86,0.93,19h41m15.17s,+46d14m15.01s
3903,Kepler-90f,2767.0,8.65 Earths,13.883,2013,Neptune-like,0.257 x Jupiter,0.48 AU,124.9 days,0,Kepler-963,Transit,5461.0,0.87,0.91,19h47m00.71s,+45d02m27.98s
3904,Kepler-90g,2767.0,0.8 Jupiters,13.883,2013,Gas Giant,0.723 x Jupiter,0.71 AU,210.6 days,0,Kepler-964,Transit,5427.0,0.84,0.93,19h41m12.02s,+40d33m23.69s
3905,Kepler-90h,2767.0,1.2 Jupiters,13.883,2013,Gas Giant,1.008 x Jupiter,1.01 AU,331.6 days,0,Kepler-965,Transit,5886.0,1.15,1.05,19h54m03.68s,+41d53m28.43s
3906,Kepler-91 b,4223.0,0.81 Jupiters,12.712,2013,Gas Giant,1.367 x Jupiter,0.0731 AU,6.2 days,0.05,Kepler-966,Transit,5840.0,1.02,1.02,19h49m04.94s,+50d07m18.61s
3907,Kepler-910 b,1306.0,0.477 Earths,11.44,2016,Terrestrial,0.82 x Earth,0.0382 AU,2.4 days,0,Kepler-967,Transit,5178.0,0.8,0.84,19h06m13.92s,+38d24m18.87s
3908,Kepler-911 b,1814.0,7.27 Earths,11.767,2016,Neptune-like,0.232 x Jupiter,0.1549 AU,20.3 days,0,Kepler-967,Transit,5178.0,0.8,0.84,19h06m13.92s,+38d24m18.87s
3909,Kepler-912 b,6539.0,8.25 Earths,15.668,2016,Neptune-like,0.25 x Jupiter,0.0339 AU,2.5 days,0,Kepler-968,Transit,4598.0,0.7,0.76,19h02m24.62s,+50d06m43.34s
3910,Kepler-913 b,3235.0,4.9 Earths,15.522,2016,Super Earth,2.06 x Earth,0.1009 AU,10.3 days,0,Kepler-968,Transit,4598.0,0.7,0.76,19h02m24.62s,+50d06m43.34s
3911,Kepler-914 b,2459.0,2.48 Earths,13.667,2016,Super Earth,1.38 x Earth,0.0544 AU,4.4 days,0,Kepler-969,Transit,5214.0,0.82,0.92,19h13m29.40s,+47d56m00.83s
3912,Kepler-915 b,2770.0,2.86 Earths,13.314,2016,Super Earth,1.5 x Earth,0.0566 AU,4.6 days,0,Kepler-969,Transit,5214.0,0.82,0.92,19h13m29.40s,+47d56m00.83s
