,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,host_temperature,host_radius,host_mass,right_ascension,declination
122,DMPP-1 e,204.0,4.13 Earths,7.98,2019,Super Earth,1.86 x Earth,0.0651 AU,5.5 days,< 0.07,DMPP-1,Radial Velocity,6196.0,1.26,1.21,05h47m06.27s,-10d37m49.16s
123,DMPP-2 b,450.0,0.437 Jupiters,8.57,2019,Gas Giant,1.28 x Jupiter,0.0664 AU,5.2 days,0.08,DMPP-2,Radial Velocity,6500.0,1.78,1.44,01h49m37.86s,-34d27m32.75s
124,DMPP-3 A b,148.0,2.58 Earths,9.066,2019,Super Earth,1.41 x Earth,0.0662 AU,6.7 days,0.14,DMPP-3 A,Radial Velocity,5138.0,0.91,0.87,06h06m29.85s,-72d30m45.6s
125,DP Leonis b,997.0,6.28 Jupiters,18.6837,2009,Gas Giant,1.14 x Jupiter,8.19 AU,28 years,0.39,DP Leo,Eclipse Timing Variations,13500.0,0.01,0.69,11h17m15.89s,+17d57m41.66s
126,DS Tucanae A b,144.0,1.3 Jupiters,8.17,2019,Neptune-like,0.509 x Jupiter,Unknown,8.1 days,0,DS Tuc A,Transit,5428.0,0.96,1.01,23h39m39.71s,-69d11m45.75s
127,EPIC 201170410.02,437.0,1.15 Earths,17.6984,2020,Super Earth,1.047 x Earth,0.0349 AU,6.8 days,0,EPIC 201170410,Transit,3648.0,0.28,0.29,11h20m33.81s,-04d48m25.21s
128,EPIC 201238110 b,520.0,4.16 Earths,16.014,2019,Super Earth,1.87 x Earth,Unknown,28.2 days,0,EPIC 201238110,Transit,3587.0,0.37,0.41,11h58m49.40s,-03d23m22.06s
129,EPIC 201427007 b,2304.0,2.86 Earths,14.321,2021,Super Earth,1.5 x Earth,Unknown,0.7 days,0,EPIC 201427007,Transit,5633.0,0.94,0.93,12h18m24.51s,-00d33m04.64s
130,EPIC 201497682 b,825.0,0.26 Earths,13.948,2019,Terrestrial,0.692 x Earth,Unknown,2.1 days,0,EPIC 201497682,Transit,4991.0,0.55,0.78,11h15m44.80s,+00d29m17.02s
131,EPIC 201595106 b,757.0,2.24 Earths,11.746,2021,Super Earth,1.3 x Earth,Unknown,0.9 days,0,EPIC 201595106,Transit,5820.0,0.93,1.02,12h14m52.89s,+01d58m05.41s
132,EPIC 201615463 c,1556.0,1.98 Earths,12.081,2019,Super Earth,1.22 x Earth,Unknown,3.8 days,0,K2-166,Transit,5942.5,1.6,1.07,12h20m45.14s,+02d16m56.56s
133,EPIC 201754305 d,1093.0,1.08 Earths,14.668,2019,Super Earth,1.03 x Earth,Unknown,2.7 days,0,K2-16,Transit,4761.0,0.54,0.67,11h40m23.33s,+04d33m26.75s
134,EPIC 201757695.02,1884.0,0.688 Earths,14.974,2020,Terrestrial,0.908 x Earth,0.0296 AU,2 days,0,EPIC 201757695,Transit,4520.0,0.66,0.73,11h35m45.24s,+04d36m59.15s
135,EPIC 201833600 c,840.0,0.972 Earths,14.705,2019,Terrestrial,1.0 x Earth,Unknown,4 days,0,K2-50,Transit,4292.67,0.63,0.61,11h17m56.08s,+05d59m17.84s
136,EPIC 201841433 b,1424.0,1.12 Earths,14.983,2019,Super Earth,1.04 x Earth,0.035 AU,4.2 days,0,EPIC 201841433,Transit,5053.0,0.63,0.8,11h40m49.62s,+06d08m05.33s
137,EPIC 205950854 c,796.0,2.27 Earths,12.365,2019,Super Earth,1.31 x Earth,Unknown,8.1 days,0,K2-168,Transit,5502.7,0.83,0.88,22h12m26.42s,-16d20m30.79s
138,EPIC 206024342 b,1207.0,3.53 Earths,13.096,2019,Super Earth,1.7 x Earth,Unknown,4.5 days,0,EPIC 206024342,Transit,5724.0,0.82,0.93,22h05m06.51s,-14d07m18.49s
139,EPIC 206024342 c,1207.0,2.54 Earths,13.096,2021,Super Earth,1.4 x Earth,Unknown,0.9 days,0,EPIC 206024342,Transit,5724.0,1.1,0.93,22h05m06.51s,-14d07m18.49s
140,EPIC 206024342 d,1207.0,7.27 Earths,13.096,2021,Neptune-like,0.232 x Jupiter,Unknown,14.6 days,0,EPIC 206024342,Transit,5724.0,1.1,0.93,22h05m06.51s,-14d07m18.49s
141,EPIC 206032309 b,526.0,1.01 Earths,17.89,2019,Super Earth,1.01 x Earth,Unknown,2.9 days,0,EPIC 206032309,Transit,3489.0,0.37,0.22,22h44m57.71s,-13d54m04.04s
142,EPIC 206042996 b,1474.0,3.26 Earths,16.59,2019,Super Earth,1.62 x Earth,Unknown,5.3 days,0,EPIC 206042996,Transit,4114.0,0.67,0.56,22h30m03.27s,-13d36m36.53s
143,EPIC 206042996 c,1474.0,1.87 Earths,16.59,2021,Super Earth,1.2 x Earth,Unknown,0.4 days,0,EPIC 206042996,Transit,4114.0,0.5,0.56,22h30m03.27s,-13d36m36.53s
144,EPIC 206215704 b,358.0,0.666 Earths,17.83,2019,Terrestrial,0.9 x Earth,Unknown,2.3 days,0,EPIC 206215704,Transit,3467.0,0.37,0.41,22h20m22.79s,-09d30m34.96s
145,EPIC 206317286 b,1025.0,0.84 Earths,14.005,2019,Terrestrial,0.96 x Earth,Unknown,1.6 days,0,EPIC 206317286,Transit,4864.0,0.67,0.71,22h30m28.28s,-07d58m20.84s
146,EPIC 211822797 b,607.0,4.35 Earths,15.133,2016,Super Earth,1.92 x Earth,0.1195 AU,21.2 days,0.06,EPIC 211822797,Transit,4057.0,0.58,0.62,08h41m38.45s,+17d38m23.91s
147,EPIC 211945201 b,593.0,27 Earths,10.154,2018,Neptune-like,0.514 x Jupiter,0.1493 AU,19.5 days,0,EPIC 211945201,Transit,6069.0,1.39,1.17,09h06m17.81s,+19d24m07.40s
148,EPIC 212297394 b,1365.0,2.79 Earths,14.611,2019,Super Earth,1.48 x Earth,Unknown,2.3 days,0,EPIC 212297394,Transit,5171.0,0.8,0.83,13h48m49.47s,-17d36m35.63s
149,EPIC 212297394 c,1365.0,5.77 Earths,14.611,2016,Neptune-like,0.203 x Jupiter,Unknown,5.2 days,0,EPIC 212297394,Transit,5171.0,0.8,0.83,13h48m49.47s,-17d36m35.63s
150,EPIC 212424622 b,1996.0,5.35 Earths,13.441,2019,Neptune-like,2.17 x Earth,Unknown,18.1 days,0,EPIC 212424622,Transit,5782.33,1.22,1.11,13h29m19.53s,-14d21m33.97s
151,EPIC 212499991 b,924.0,3.19 Earths,13.672,2019,Super Earth,1.6 x Earth,Unknown,34.9 days,0,EPIC 212499991,Transit,4982.79,0.76,0.91,13h29m57.30s,-12d44m05.19s
152,EPIC 212587672 b,1044.0,2.13 Earths,12.488,2019,Super Earth,1.26 x Earth,Unknown,15.3 days,0,EPIC 212587672,Transit,6004.0,0.98,0.99,13h41m46.68s,-10d51m45.17s
153,EPIC 212587672 c,1044.0,5.99 Earths,12.488,2016,Neptune-like,0.207 x Jupiter,Unknown,23.2 days,0,EPIC 212587672,Transit,6004.0,0.98,0.99,13h41m46.68s,-10d51m45.17s
154,EPIC 212624936 b,1833.0,1.87 Earths,13.976,2021,Super Earth,1.2 x Earth,Unknown,0.6 days,0,EPIC 212624936,Transit,5765.0,0.93,1.0,14h02m33.03s,-10d01m25.27s
155,EPIC 212624936 c,1833.0,5.9 Earths,13.976,2021,Neptune-like,0.205 x Jupiter,Unknown,11.8 days,0,EPIC 212624936,Transit,5765.0,0.93,1.0,14h02m33.03s,-10d01m25.27s
156,EPIC 212737443 b,1097.0,7.2 Earths,14.81,2019,Neptune-like,0.231 x Jupiter,0.098 AU,13.6 days,0.2,EPIC 212737443,Transit,4684.0,0.67,0.69,13h36m53.16s,-07d19m05.01s
157,EPIC 212737443 c,1097.0,7.7 Earths,14.81,2019,Neptune-like,0.24 x Jupiter,0.28 AU,65.6 days,0.2,EPIC 212737443,Transit,4684.0,0.67,0.69,13h36m53.16s,-07d19m05.01s
158,EPIC 220492298 b,2037.0,0.937 Earths,13.991,2021,Terrestrial,0.99 x Earth,Unknown,0.8 days,0,EPIC 220492298,Transit,5620.0,0.89,0.95,01h07m02.76s,+06d35m19.67s
159,EPIC 220554210 c,1619.0,2.79 Earths,14.21,2019,Super Earth,1.48 x Earth,Unknown,0.7 days,0,K2-282,Transit,5523.0,1.01,0.94,00h53m43.72s,+07d59m43.05s
160,EPIC 220674823 b,798.0,7.72 Earths,12.101,2016,Super Earth,1.82 x Earth,0.0134 AU,0.6 days,0,EPIC 220674823,Transit,5617.0,0.98,0.97,00h52m19.21s,+10d47m40.94s
161,EPIC 220674823 c,798.0,5.8 Earths,12.101,2016,Neptune-like,0.244 x Jupiter,0.1091 AU,13.3 days,0.18,EPIC 220674823,Transit,5617.0,0.98,0.97,00h52m19.21s,+10d47m40.94s
162,EPIC 228836835 b,490.0,1.37 Earths,16.77,2021,Super Earth,1.1 x Earth,Unknown,0.7 days,0,EPIC 228836835,Transit,3782.0,0.32,0.42,12h38m17.98s,-05d14m40.65s
163,EPIC 246851721 b,1216.0,3 Jupiters,11.237,2018,Gas Giant,1.051 x Jupiter,0.07229 AU,6.2 days,0,EPIC 246851721,Transit,6202.0,1.59,1.32,05h15m40.76s,+16d16m43.32s
164,EPIC 248847494 b,1800.0,13 Jupiters,12.353,2018,Gas Giant,1.11 x Jupiter,4.5 AU,10 years,0,EPIC 248847494,Transit,4898.0,2.7,0.9,10h37m33.38s,+11d50m33.89s
165,EPIC 249893012 b,1048.0,8.75 Earths,11.429,2020,Super Earth,1.95 x Earth,0.047 AU,3.6 days,0.06,EPIC 249893012,Transit,5430.0,1.71,1.05,15h12m59.58s,-16d43m28.73s
166,EPIC 249893012 c,1048.0,14.67 Earths,11.429,2020,Neptune-like,0.327 x Jupiter,0.13 AU,15.6 days,0.07,EPIC 249893012,Transit,5430.0,1.71,1.05,15h12m59.58s,-16d43m28.73s
167,EPIC 249893012 d,1048.0,10.18 Earths,11.429,2020,Neptune-like,0.352 x Jupiter,0.22 AU,35.7 days,0.15,EPIC 249893012,Transit,5430.0,1.71,1.05,15h12m59.58s,-16d43m28.73s
168,Epsilon Coronae Borealis b,228.0,6.7 Jupiters,4.12577,2012,Gas Giant,1.13 x Jupiter,1.3 AU,417.9 days,0.11,eps CrB,Radial Velocity,4406.0,21.0,1.7,15h57m35.16s,+26d52m39.42s
169,Epsilon Eridani b,10.0,0.78 Jupiters,3.71548,2000,Gas Giant,1.24 x Jupiter,3.5 AU,7.4 years,0.07,eps Eri,Radial Velocity,5020.38,0.76,0.78,03h32m54.82s,-09d27m29.42s
170,Epsilon Indi A b,12.0,3.25 Jupiters,4.69,2019,Gas Giant,1.17 x Jupiter,11.55 AU,45.2 years,0.26,eps Ind A,Radial Velocity,4754.0,0.78,0.75,22h03m29.14s,-56d47m48.85s
171,Epsilon Tauri b,155.0,7.6 Jupiters,3.523,2006,Gas Giant,1.13 x Jupiter,1.93 AU,1.6 years,0.15,eps Tau,Radial Velocity,4901.0,13.7,2.7,04h28m37.12s,+19d10m49.00s
172,FU Tauri b,435.0,16 Jupiters,15.2412,2008,Gas Giant,1.09 x Jupiter,800.0 AU,101250.8 years,0,FU Tau,Imaging,2838.0,,0.05,04h23m35.40s,+25d03m02.42s
173,G 264-012 b,52.0,2.5 Earths,13.078,2021,Super Earth,1.39 x Earth,0.02279 AU,2.3 days,0,G 264-012,Radial Velocity,3326.0,0.3,0.3,21h46m41.27s,+66d48m13.85s
174,G 264-012 c,52.0,3.75 Earths,13.078,2021,Super Earth,1.76 x Earth,0.0525 AU,8.1 days,0,G 264-012,Radial Velocity,3326.0,0.3,0.3,21h46m41.27s,+66d48m13.85s
175,G 9-40 b,91.0,4.76 Earths,13.821,2019,Super Earth,2.025 x Earth,0.0385 AU,5.7 days,0,G 9-40,Transit,3348.0,0.31,0.29,08h58m52.52s,+21d04m29.27s
176,GJ 1061 b,12.0,1.37 Earths,12.7,2020,Super Earth,1.1 x Earth,0.021 AU,3.2 days,< 0.31,gam 1 Leo,Radial Velocity,4330.0,31.88,1.23,10h19m58.37s,+19d50m29.00s
177,GJ 1061 c,12.0,1.74 Earths,12.7,2020,Super Earth,1.18 x Earth,0.035 AU,6.7 days,< 0.29,gam Cep,Radial Velocity,4888.0,4.9,1.4,23h39m20.60s,+77d37m59.16s
178,GJ 1061 d,12.0,1.64 Earths,12.7,2020,Super Earth,1.16 x Earth,0.054 AU,13 days,< 0.53,gam Lib,Radial Velocity,4822.0,11.1,1.47,15h35m31.65s,-14d47m22.21s
179,GJ 1132 b,41.0,1.66 Earths,13.68,2015,Super Earth,1.13 x Earth,0.0153 AU,1.6 days,0.22,gam Lib,Radial Velocity,4822.0,11.1,1.47,15h35m31.65s,-14d47m22.21s
180,GJ 1132 c,41.0,2.64 Earths,13.68,2018,Super Earth,1.43 x Earth,0.0476 AU,8.9 days,< 0.27,GJ 1061,Radial Velocity,2953.0,0.16,0.12,03h36m00.78s,-44d30m51.52s
181,GJ 1148 b,36.0,0.30425 Jupiters,11.939,2010,Gas Giant,1.07 x Jupiter,0.166 AU,41.4 days,0.38,GJ 1061,Radial Velocity,2953.0,0.16,0.12,03h36m00.78s,-44d30m51.52s
182,GJ 1148 c,36.0,0.21414 Jupiters,11.939,2017,Gas Giant,0.866 x Jupiter,0.912 AU,1.5 years,0.34,GJ 1061,Radial Velocity,2953.0,0.16,0.12,03h36m00.78s,-44d30m51.52s
183,GJ 1151 b,26.0,2.5 Earths,13.76,2021,Super Earth,1.39 x Earth,0.01735 AU,2 days,0,GJ 1132,Transit,3270.0,0.21,0.18,10h14m50.18s,-47d09m17.77s
184,GJ 1214 b,48.0,8.17 Earths,15.1,2009,Neptune-like,0.245 x Jupiter,0.0149 AU,1.6 days,< 0.063,GJ 1132,Radial Velocity,3270.0,0.21,0.18,10h14m50.18s,-47d09m17.77s
185,GJ 1252 b,66.0,2.09 Earths,12.68,2020,Super Earth,1.193 x Earth,0.00916 AU,0.5 days,0,GJ 1148,Radial Velocity,3287.0,0.36,0.34,11h41m43.83s,+42d45m05.71s
186,GJ 1265 b,33.0,7.4 Earths,14.01,2018,Neptune-like,0.234 x Jupiter,0.026 AU,3.7 days,0.04,GJ 1148,Radial Velocity,3287.0,0.36,0.34,11h41m43.83s,+42d45m05.71s
187,GJ 143 b,53.0,22.7 Earths,8.08,2019,Neptune-like,0.233 x Jupiter,0.1915 AU,35.6 days,0.19,GJ 1151,Radial Velocity,3114.0,0.2,0.17,11h50m55.32s,+48d22m23.64s
188,GJ 15 A b,12.0,3.03 Earths,8.09,2014,Super Earth,1.55 x Earth,0.072 AU,11.4 days,0.09,GJ 1214,Transit,3250.0,0.21,0.18,17h15m19.54s,+04d57m38.45s
189,GJ 15 A c,12.0,36 Earths,8.09,2018,Neptune-like,0.595 x Jupiter,5.4 AU,20.8 years,0.27,GJ 1252,Transit,3458.0,0.39,0.38,20h27m42.88s,-56d27m44.23s
190,GJ 160.2 b,84.0,10.2 Earths,9.7,2014,Neptune-like,0.283 x Jupiter,0.053 AU,5.2 days,0.06,GJ 1265,Radial Velocity,3236.0,0.19,0.18,22h13m43.79s,-17d41m13.42s
191,GJ 163 b,49.0,10.6 Earths,11.79,2013,Neptune-like,0.29 x Jupiter,0.0607 AU,8.6 days,0.07,GJ 143,Transit,4640.0,0.69,0.73,03h27m00.05s,-63d30m00.60s
192,GJ 163 c,49.0,6.8 Earths,11.79,2013,Neptune-like,0.223 x Jupiter,0.1254 AU,25.6 days,0.1,GJ 15 A,Radial Velocity,3607.0,0.38,0.38,00h18m27.04s,+44d01m29.03s
193,GJ 163 d,49.0,29.4 Earths,11.79,2013,Neptune-like,0.528 x Jupiter,1.0304 AU,1.7 years,0.37,GJ 15 A,Radial Velocity,3607.0,0.38,0.38,00h18m27.04s,+44d01m29.03s
194,GJ 179 b,40.0,0.82 Jupiters,11.963,2009,Gas Giant,1.24 x Jupiter,2.41 AU,6.3 years,0.21,GJ 160.2,Radial Velocity,4347.0,0.66,0.69,04h06m34.90s,-20d51m23.30s
195,GJ 180 b,39.0,6.49 Earths,10.914,2014,Neptune-like,0.217 x Jupiter,0.092 AU,17.1 days,0.07,GJ 163,Radial Velocity,3500.0,0.41,0.4,04h09m17.48s,-53d22m16.24s
196,GJ 180 c,39.0,6.4 Earths,10.914,2014,Neptune-like,0.215 x Jupiter,0.129 AU,24.3 days,0.09,GJ 163,Radial Velocity,3500.0,0.41,0.4,04h09m17.48s,-53d22m16.24s
197,GJ 180 d,39.0,7.56 Earths,10.914,2020,Neptune-like,0.237 x Jupiter,0.309 AU,106.3 days,0.14,GJ 163,Radial Velocity,3500.0,0.41,0.4,04h09m17.48s,-53d22m16.24s
198,GJ 2056 b,93.0,16.2 Earths,10.37,2020,Neptune-like,0.372 x Jupiter,0.283 AU,70 days,0.72,GJ 179,Radial Velocity,3370.0,0.38,0.36,04h52m05.89s,+06d28m30.84s
199,GJ 229 A c,19.0,7.268 Earths,8.15,2020,Neptune-like,0.232 x Jupiter,0.339 AU,122 days,0.19,GJ 180,Radial Velocity,3371.0,0.41,0.43,04h53m50.42s,-17d46m34.30s
200,GJ 229 b,19.0,8.478 Earths,8.15,2014,Neptune-like,0.254 x Jupiter,0.898 AU,1.4 years,0.1,GJ 180,Radial Velocity,3371.0,0.41,0.43,04h53m50.42s,-17d46m34.30s
201,GJ 251 b,18.0,4 Earths,9.89,2020,Super Earth,1.83 x Earth,0.0818 AU,14.2 days,0.1,GJ 180,Radial Velocity,3811.5,0.41,0.43,04h53m50.42s,-17d46m34.30s
202,GJ 27.1 b,77.0,13 Earths,11.45,2014,Neptune-like,0.327 x Jupiter,0.101 AU,15.8 days,0.08,GJ 2056,Radial Velocity,4069.95,0.71,0.62,07h12m04.68s,-24d53m31.56s
203,GJ 273 b,19.0,2.89 Earths,9.84,2017,Super Earth,1.51 x Earth,0.091101 AU,18.6 days,0.1,GJ 229,Radial Velocity,3912.54,0.46,0.58,06h10m34.46s,-21d52m03.80s
204,GJ 273 c,19.0,1.18 Earths,9.84,2017,Super Earth,1.06 x Earth,0.036467 AU,4.7 days,0.17,GJ 229,Radial Velocity,3564.0,0.46,0.58,06h10m34.46s,-21d52m03.80s
205,GJ 3021 b,57.0,3.37 Jupiters,6.59,2000,Gas Giant,1.17 x Jupiter,0.49 AU,133.7 days,0.51,GJ 251,Radial Velocity,3451.0,0.36,0.36,06h54m48.06s,+33d15m59.27s
206,GJ 3082 b,54.0,8.2 Earths,11.041,2020,Neptune-like,0.249 x Jupiter,0.079 AU,11.9 days,0.22,GJ 27.1,Radial Velocity,3542.0,0.52,0.53,00h39m59.52s,-44d15m15.00s
207,GJ 3138 b,93.0,1.78 Earths,10.8275,2017,Super Earth,1.18 x Earth,0.0197 AU,1.2 days,0.19,GJ 273,Radial Velocity,3382.0,0.29,0.29,07h27m24.50s,+05d13m32.91s
208,GJ 3138 c,93.0,4.18 Earths,10.8275,2017,Super Earth,1.88 x Earth,0.057 AU,6 days,0.11,GJ 273,Radial Velocity,3382.0,0.29,0.29,07h27m24.50s,+05d13m32.91s
209,GJ 3138 d,93.0,10.5 Earths,10.8275,2017,Neptune-like,0.288 x Jupiter,0.698 AU,257.8 days,0.32,GJ 3021,Radial Velocity,5540.0,0.9,0.9,00h16m15.22s,-79d51m05.12s
210,GJ 317 b,50.0,2.5 Jupiters,12.4,2007,Gas Giant,1.18 x Jupiter,1.151 AU,1.9 years,0.07,GJ 3082,Radial Velocity,3910.0,0.47,0.47,01h14m34.38s,-53d56m26.79s
211,GJ 317 c,50.0,1.64396 Jupiters,12.4,2018,Gas Giant,1.2 x Jupiter,5.23 AU,18.5 years,0.17,GJ 3138,Radial Velocity,3717.0,0.5,0.68,02h09m11.46s,-16d20m21.30s
212,GJ 328 b,67.0,2.3 Jupiters,9.99,2013,Gas Giant,1.19 x Jupiter,4.5 AU,11.2 years,0.37,GJ 3138,Radial Velocity,3717.0,0.5,0.68,02h09m11.46s,-16d20m21.30s
213,GJ 3293 b,66.0,23.54 Earths,11.945,2015,Neptune-like,0.463 x Jupiter,0.14339 AU,30.6 days,0.06,GJ 3138,Radial Velocity,3717.0,0.5,0.68,02h09m11.46s,-16d20m21.30s
214,GJ 3293 c,66.0,21.09 Earths,11.945,2015,Neptune-like,0.434 x Jupiter,0.36175 AU,122.6 days,0.11,GJ 317,Radial Velocity,3492.73,0.43,0.42,08h40m58.69s,-23d27m10.11s
215,GJ 3293 d,66.0,7.6 Earths,11.945,2017,Neptune-like,0.238 x Jupiter,0.19394 AU,48.1 days,0.12,GJ 317,Radial Velocity,3492.73,0.43,0.42,08h40m58.69s,-23d27m10.11s
216,GJ 3293 e,66.0,3.28 Earths,11.945,2017,Super Earth,1.63 x Earth,0.08208 AU,13.3 days,0.21,GJ 328,Radial Velocity,3900.0,0.65,0.69,08h55m07.67s,+01d32m31.20s
217,GJ 3323 b,18.0,2.02 Earths,12.57,2017,Super Earth,1.23 x Earth,0.03282 AU,5.4 days,0.23,GJ 3293,Radial Velocity,3466.0,0.4,0.42,04h28m35.63s,-25d10m16.82s
218,GJ 3323 c,18.0,2.31 Earths,12.57,2017,Super Earth,1.32 x Earth,0.1264 AU,40.5 days,0.17,GJ 3293,Radial Velocity,3466.0,0.4,0.42,04h28m35.63s,-25d10m16.82s
219,GJ 3341 b,77.0,6.6 Earths,12.062,2015,Neptune-like,0.219 x Jupiter,0.089 AU,14.2 days,0.31,GJ 3293,Radial Velocity,3466.0,0.4,0.42,04h28m35.63s,-25d10m16.82s
220,GJ 338 B b,21.0,10.27 Earths,7.7,2020,Neptune-like,0.284 x Jupiter,0.141 AU,24.5 days,0.11,GJ 3293,Radial Velocity,3466.0,0.4,0.42,04h28m35.63s,-25d10m16.82s
221,GJ 3470 b,96.0,13.9 Earths,12.332,2012,Neptune-like,0.408 x Jupiter,0.0355 AU,3.3 days,0.02,GJ 3323,Radial Velocity,3159.0,0.12,0.16,05h01m56.85s,-06d56m54.65s
222,GJ 3473 b,89.0,1.86 Earths,13.74,2020,Super Earth,1.264 x Earth,0.01589 AU,1.2 days,0,GJ 3323,Radial Velocity,3159.0,0.12,0.16,05h01m56.85s,-06d56m54.65s
223,GJ 3473 c,89.0,7.41 Earths,13.74,2020,Neptune-like,0.235 x Jupiter,0.0876 AU,15.5 days,0,GJ 3341,Radial Velocity,3526.0,0.44,0.47,05h15m47.31s,-31d17m41.44s
224,GJ 3512 b,31.0,0.463 Jupiters,15.18,2019,Gas Giant,1.27 x Jupiter,0.338 AU,203.6 days,0.44,GJ 338 B,Radial Velocity,4005.0,0.58,0.64,09h14m22.00s,+52d41m00.68s
225,GJ 357 b,31.0,1.84 Earths,10.91,2019,Super Earth,1.217 x Earth,0.035 AU,3.9 days,0,GJ 3470,Radial Velocity,3600.0,0.55,0.54,07h59m05.64s,+15d23m28.35s
226,GJ 357 c,31.0,3.4 Earths,10.91,2019,Super Earth,1.66 x Earth,0.061 AU,9.1 days,0,GJ 3473,Transit,3347.0,0.36,0.36,08h02m22.47s,+03d20m13.79s
227,GJ 357 d,31.0,6.1 Earths,10.91,2019,Neptune-like,0.209 x Jupiter,0.204 AU,55.7 days,0,GJ 3473,Radial Velocity,3347.0,0.36,0.36,08h02m22.47s,+03d20m13.79s
228,GJ 3634 b,66.0,8.4 Earths,11.938,2010,Neptune-like,0.253 x Jupiter,0.0287 AU,2.6 days,0.08,GJ 3512,Radial Velocity,3081.0,0.14,0.12,08h41m19.60s,+59d29m30.61s
229,GJ 3779 b,45.0,8 Earths,13.04,2018,Neptune-like,0.245 x Jupiter,0.026 AU,3 days,0.07,GJ 357,Transit,3505.0,0.34,0.34,09h36m01.79s,-21d39m54.23s
230,GJ 393 b,23.0,1.71 Earths,9.65,2021,Super Earth,1.17 x Earth,0.05402 AU,7 days,0,GJ 357,Radial Velocity,3505.0,0.34,0.34,09h36m01.79s,-21d39m54.23s
231,GJ 3942 b,55.0,7.14 Earths,10.166,2017,Neptune-like,0.229 x Jupiter,0.0608 AU,6.9 days,0.12,GJ 357,Radial Velocity,3505.0,0.34,0.34,09h36m01.79s,-21d39m54.23s
232,GJ 3998 b,59.0,2.47 Earths,10.844,2016,Super Earth,1.38 x Earth,0.029 AU,2.6 days,0,GJ 3634,Radial Velocity,3517.0,0.43,0.45,10h58m34.40s,-31d08m39.62s
233,GJ 3998 c,59.0,6.26 Earths,10.844,2016,Neptune-like,0.212 x Jupiter,0.089 AU,13.7 days,0.05,GJ 3779,Radial Velocity,3324.0,0.28,0.27,13h22m56.05s,+24d27m50.19s
234,GJ 411 b,19.0,2.69 Earths,7.49,2019,Super Earth,1.45 x Earth,0.0789 AU,12.9 days,0.12,GJ 393,Radial Velocity,3579.0,0.43,0.43,10h28m54.93s,+00d50m16.25s
235,GJ 414 A b,39.0,7.6 Earths,8.31,2021,Neptune-like,0.235 x Jupiter,0.2324 AU,50.8 days,0.45,GJ 3942,Radial Velocity,3867.0,0.61,0.63,16h09m03.49s,+52d56m38.92s
236,GJ 414 A c,39.0,0.16937 Jupiters,8.31,2021,Gas Giant,0.749 x Jupiter,1.4 AU,2.1 years,0.11,GJ 3998,Radial Velocity,3722.0,0.49,0.5,17h16m00.49s,+11d03m22.23s
237,GJ 422 b,41.0,11.07 Earths,11.66,2014,Neptune-like,0.297 x Jupiter,0.111 AU,20.1 days,0.11,GJ 3998,Radial Velocity,3722.0,0.49,0.5,17h16m00.49s,+11d03m22.23s
238,GJ 4276 b,70.0,16.57 Earths,12.903,2019,Neptune-like,0.377 x Jupiter,0.082 AU,13.4 days,0.37,GJ 411,Radial Velocity,3601.0,0.39,0.39,11h03m20.27s,+35d58m20.34s
239,GJ 433 b,30.0,6.043 Earths,9.81,2011,Neptune-like,0.208 x Jupiter,0.062 AU,7.4 days,0.04,GJ 414 A,Radial Velocity,4120.0,0.68,0.65,11h11m05.88s,+30d26m42.61s
240,GJ 433 c,30.0,32.422 Earths,9.81,2014,Neptune-like,0.56 x Jupiter,4.819 AU,14 years,0.12,GJ 414 A,Radial Velocity,4120.0,0.68,0.65,11h11m05.88s,+30d26m42.61s
241,GJ 433 d,30.0,5.223 Earths,9.81,2020,Neptune-like,2.14 x Earth,0.178 AU,36.1 days,0.07,GJ 422,Radial Velocity,3323.0,0.37,0.35,11h15m55.45s,-57d32m33.23s
242,GJ 436 b,32.0,22.1 Earths,10.67,2004,Neptune-like,0.372 x Jupiter,0.0291 AU,2.6 days,0.14,GJ 4276,Radial Velocity,3387.0,0.41,0.41,22h25m17.31s,+59d24m45.01s
243,GJ 480 b,46.0,13.2 Earths,11.49,2020,Neptune-like,0.33 x Jupiter,0.068 AU,9.6 days,0.1,GJ 433,Radial Velocity,3461.0,0.5,0.48,11h35m26.86s,-32d32m37.07s
244,GJ 486 b,26.0,2.82 Earths,11.39,2021,Super Earth,1.305 x Earth,0.01734 AU,1.5 days,0.05,GJ 433,Radial Velocity,3472.0,0.47,0.48,11h35m26.86s,-32d32m37.07s
245,GJ 504 b,57.0,4 Jupiters,5.18799,2013,Gas Giant,1.16 x Jupiter,43.5 AU,259.9 years,0,GJ 433,Radial Velocity,3461.0,0.47,0.48,11h35m26.86s,-32d32m37.07s
246,GJ 536 b,34.0,5.36 Earths,9.71,2016,Neptune-like,2.17 x Earth,0.06661 AU,8.7 days,0.08,GJ 436,Radial Velocity,3586.11,0.46,0.47,11h42m12.13s,+26d42m11.04s
247,GJ 581 b,21.0,15.8 Earths,10.57,2005,Neptune-like,0.366 x Jupiter,0.04061 AU,5.4 days,0,GJ 480,Radial Velocity,3381.0,0.46,0.45,12h38m51.22s,+11d41m42.25s
248,GJ 581 c,21.0,5.5 Earths,10.57,2007,Neptune-like,2.21 x Earth,0.0721 AU,12.9 days,0,GJ 486,Radial Velocity,3340.0,0.33,0.32,12h47m55.57s,+09d44m57.91s
